<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200714,100000,118.3300000,118.5400000,118.3300000,118.4400000,800
US1.IBM,1,20200714,100100,118.3800000,118.5000000,118.3800000,118.4200000,1000
US1.IBM,1,20200714,100200,118.4900000,118.6300000,118.4900000,118.6300000,2800
US1.IBM,1,20200714,100300,118.6800000,118.7000000,118.6000000,118.6700000,1577
US1.IBM,1,20200714,100400,118.5600000,118.6700000,118.4600000,118.6700000,1200
US1.IBM,1,20200714,100500,118.5500000,118.6500000,118.5500000,118.5900000,579
US1.IBM,1,20200714,100600,118.4300000,118.5800000,118.2800000,118.2800000,800
US1.IBM,1,20200714,100700,118.3100000,118.3500000,118.3100000,118.3500000,600
US1.IBM,1,20200714,100800,118.3100000,118.3100000,118.2100000,118.2900000,1600
US1.IBM,1,20200714,100900,118.2800000,118.4700000,118.2600000,118.4600000,1000
US1.IBM,1,20200714,101000,118.5300000,118.5300000,118.4800000,118.5200000,500
US1.IBM,1,20200714,101100,118.6500000,118.8100000,118.6500000,118.7600000,700
US1.IBM,1,20200714,101200,118.7900000,118.8900000,118.7900000,118.8400000,700
US1.IBM,1,20200714,101300,118.8600000,118.9300000,118.8600000,118.8800000,300
US1.IBM,1,20200714,101400,118.9500000,119.1200000,118.9500000,119.0600000,1000
US1.IBM,1,20200714,101500,119.0000000,119.0100000,118.8300000,118.8300000,600
US1.IBM,1,20200714,101600,119.0800000,119.1300000,119.0400000,119.1300000,600
US1.IBM,1,20200714,101700,119.3200000,119.3400000,119.2500000,119.2500000,1100
US1.IBM,1,20200714,101800,119.1600000,119.1900000,119.0500000,119.0500000,700
US1.IBM,1,20200714,101900,119.1100000,119.1700000,119.0800000,119.1700000,500
US1.IBM,1,20200714,102000,119.2900000,119.2900000,119.1400000,119.1400000,200
US1.IBM,1,20200714,102100,119.1400000,119.2100000,119.1400000,119.2100000,300
US1.IBM,1,20200714,102200,119.2300000,119.3800000,119.2300000,119.3800000,300
US1.IBM,1,20200714,102500,119.3900000,119.3900000,119.3300000,119.3300000,400
US1.IBM,1,20200714,102600,119.1900000,119.2700000,119.1600000,119.2700000,300
US1.IBM,1,20200714,102700,119.4800000,119.4800000,119.4200000,119.4200000,300
US1.IBM,1,20200714,102800,119.3200000,119.3200000,119.3200000,119.3200000,100
US1.IBM,1,20200714,102900,119.1600000,119.2400000,119.1600000,119.2400000,300
US1.IBM,1,20200714,103000,119.3200000,119.4000000,119.3200000,119.4000000,300
US1.IBM,1,20200714,103100,119.5300000,119.6600000,119.5300000,119.6600000,400
US1.IBM,1,20200714,103300,119.8000000,119.8000000,119.8000000,119.8000000,100
US1.IBM,1,20200714,103400,119.8000000,119.8900000,119.8000000,119.8700000,1137
US1.IBM,1,20200714,103500,119.8800000,119.8900000,119.8300000,119.8300000,600
US1.IBM,1,20200714,103600,119.8700000,119.8900000,119.7000000,119.8000000,800
US1.IBM,1,20200714,103700,119.6700000,119.6900000,119.6600000,119.6600000,300
US1.IBM,1,20200714,103800,119.8500000,119.8500000,119.8500000,119.8500000,200
US1.IBM,1,20200714,103900,119.8700000,119.8700000,119.7900000,119.7900000,600
US1.IBM,1,20200714,104000,119.8200000,119.8350000,119.7700000,119.7700000,600
US1.IBM,1,20200714,104100,119.8100000,119.8600000,119.8100000,119.8600000,400
US1.IBM,1,20200714,104200,119.8700000,119.8900000,119.8100000,119.8900000,300
US1.IBM,1,20200714,104300,119.9000000,119.9000000,119.9000000,119.9000000,100
US1.IBM,1,20200714,104400,119.9300000,119.9300000,119.9300000,119.9300000,100
US1.IBM,1,20200714,104500,119.6200000,119.6800000,119.6200000,119.6800000,200
US1.IBM,1,20200714,104600,119.7700000,119.7800000,119.6800000,119.6800000,300
US1.IBM,1,20200714,104700,119.7500000,119.7500000,119.7500000,119.7500000,100
US1.IBM,1,20200714,104800,119.6300000,119.6300000,119.6300000,119.6300000,100
US1.IBM,1,20200714,104900,119.7900000,119.7900000,119.6000000,119.6000000,300
US1.IBM,1,20200714,105100,119.4350000,119.4350000,119.4000000,119.4000000,200
US1.IBM,1,20200714,105200,119.4800000,119.4800000,119.4400000,119.4400000,600
US1.IBM,1,20200714,105300,119.5500000,119.5500000,119.5500000,119.5500000,100
US1.IBM,1,20200714,105400,119.5900000,119.5900000,119.5900000,119.5900000,100
US1.IBM,1,20200714,105500,119.5300000,119.5300000,119.5300000,119.5300000,100
US1.IBM,1,20200714,105600,119.4600000,119.4600000,119.3750000,119.3900000,400
US1.IBM,1,20200714,105700,119.3800000,119.3800000,119.2000000,119.2000000,300
US1.IBM,1,20200714,105800,119.2500000,119.2700000,119.2500000,119.2700000,200
US1.IBM,1,20200714,105900,119.3100000,119.3100000,119.3100000,119.3100000,100
US1.IBM,1,20200714,110000,119.2500000,119.4500000,119.2500000,119.4500000,700
